name,description,url
"Women's Keen Newport H2","Designed by a world-class sailor, these hybrid sport Keen sandals take water and varied terrain in stride. They provide more toe protection than any other sport sandal – plus supportive, quick-drying comfort.","https://www.llbean.com/llb/shop/120385?page=women-s-keen-newport-h2&bc=474-630&feat=630-gn1&csp=f"
"Women's Keen Rose Sandals","These ultra-comfortable sandals are made specifically for women. They're designed for water adventures of all kinds with a grippy rubber sole and Keen's patented toe protection.","https://www.llbean.com/llb/shop/122429?page=women-s-keen-rose-sandals&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=gargoyle/raven"
"Women's Getaway Sandals, Two Strap Slide","These sleek, airy slides are easy to mix and match with just about any summer outfit. They're made from soft, comfortable materials to keep your feet feeling refreshed all summer.","https://www.llbean.com/llb/shop/122278?page=women-s-getaway-sandals-two-strap-slide&bc=474-630&feat=630-gn1&csp=f"
"Women's Waterproof Keen Terradora Hiking Shoes","These lightweight, waterproof hiking shoes have a sleek design specifically for women, with great cushioning and support for active adventures.","https://www.llbean.com/llb/shop/118882?page=women-s-waterproof-keen-terradora-hiking-shoes&bc=474-630&feat=630-gn1&csp=f"
"Zukey Suede Sandals by Kork-Ease","These summer suede sandals are absolutely beautiful – and incredibly comfortable – addition to your warm-weather wardrobe. In a strappy ankle-strap style as timeless as it is versatile.","https://www.llbean.com/llb/shop/122446?page=zukey-suede-sandals-by-kork-ease&bc=474-630&feat=630-gn1&csp=f"
"Women's Waterproof Hoka One One Sky Toa","","https://www.llbean.com/llb/shop/122573?page=women-s-waterproof-hoka-one-one-sky-toa&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=black%20iris/aquamarine"
"Women's Chaco for L.L.Bean Z/Cloud 2 Sandals","We partnered with Chaco to create these special-edition water sandals, featuring rugged construction and earth tones inspired by Maine's Acadia National Park.","https://www.llbean.com/llb/shop/120408?page=women-s-chaco-for-l-l-bean-z-cloud-2-sandals&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=acadia%20mineral%20blue"
"Women's Wicked Good Deerskin-Lined Slippers. Original Venetian","Our much-loved slippers have been redesigned to feature a new sheepskin suede upper for a beautifully vintage look that's a perfect match for their legendary cozy comfort. They are also built with a super-soft deerskin lining.","https://www.llbean.com/llb/shop/122285?page=women-s-wicked-good-deerskin-lined-slippers-original-venetian&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=brown"
"Women's Teva Omnium Sandals","Teva's most rugged sandal delivers stability, comfort and performance on wet or dry terrain.","https://www.llbean.com/llb/shop/122443?page=women-s-teva-omnium-sandals&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=slate"
"Women's Wicked Good Moccasins","With exceptional cushioning comfort, a precise fit and a thermoplastic rubber outsole make our popular women’s furry slippers the coziest ever.","https://www.llbean.com/llb/shop/18664?page=women-s-wicked-good-moccasins&bc=474-630&feat=630-gn1&csp=f"
"Women's Maine Isle Flip-Flops, Print","We made our most popular flip flops even more comfortable with a redesigned footbed and midsole. They're the most comfortable flip-flops you'll find anywhere. Choose from a great variety of fun prints.","https://www.llbean.com/llb/shop/122272?page=women-s-maine-isle-flip-flops-print&bc=474-630&feat=630-gn1&csp=f"
"Nogales Sandals by Kork-Ease","These cross-strap sandals are beautifully crafted in an assymetric design. They're sure to be an incredibly comfortable addition to any warm-weather wardrobe.","https://www.llbean.com/llb/shop/122574?page=nogales-sandals-by-kork-ease&bc=474-630&feat=630-gn1&csp=f"
"Women's Teva Original Universal Sandal","Teva has brought back the classic river sandal that started it all. It features a secure fit, supportive comfort and a grippy outsole that's great in and out of the water.","https://www.llbean.com/llb/shop/122279?page=women-s-teva-original-universal-sandal&bc=474-630&feat=630-gn1&csp=f"
"Maine Isle Flip-Flops, Woven Print","We've redesigned our woven print flip-flops with an anatomically contoured, EVA footbed and cush EVA midsole for better support and comfort.","https://www.llbean.com/llb/shop/120386?page=maine-isle-flip-flops-woven-print&bc=474-630&feat=630-gn1&csp=f"
"Women's Small Batch L.L.Bean Boots, Nubuck Rubber Moc","We've put a colorful spin on a perennial favorite: the low-cut, slip-on, rain-shedding Rubber Moc – now in fun limited-edition colors for women.","https://www.llbean.com/llb/shop/122337?page=women-s-small-batch-l-l-bean-boots-nubuck-rubber-moc&bc=474-630&feat=630-gn1&csp=f"
"Women's Keen Whisper Sandals","Slip on these quick-drying women's Keen sandals for a women's-specific fit that offers exceptional stability, comfort and improved traction on slick surfaces along with built-in odor protection.","https://www.llbean.com/llb/shop/77940?page=women-s-keen-whisper-sandals&bc=474-630&feat=630-gn1&csp=f"
"Women's New Balance 608v5 Sneakers, Suede","These women's New Balance cross trainers have a great combination of performance, comfort-boosting features and sleek style.","https://www.llbean.com/llb/shop/122440?page=women-s-new-balance-608v5-sneakers-suede&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=bungee/burlap"
"Women's Maine Isle Flip-Flops","We made our most popular flip flops even more comfortable with a redesigned footbed and midsole, these are the most comfortable flip-flops you'll find anywhere.","https://www.llbean.com/llb/shop/122271?page=women-s-maine-isle-flip-flops&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=black"
"Women's Campside Shoes, Oxford Lace to Toe","With super-soft canvas, thick cushioning and quality construction, this ultracomfortable lace-to-toe Oxford delivers a broken-in feel the first and every time you put them on.","https://www.llbean.com/llb/shop/122269?page=women-s-campside-shoes-oxford-lace-to-toe&bc=474-630&feat=630-gn1&csp=f"
"Women's Evergreen Gore-Tex® Hiking Boots","These super-versatile, exceptionally comfortable light hikers feature legendary Italian boot-making craftsmanship combined with modern technologies. They're perfect for light and fast multiday backpacking trips.","https://www.llbean.com/llb/shop/121235?page=women-s-evergreen-gore-tex-hiking-boots&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=deep%20coffee"
"Women's Back Cove Slip-Ons","Take summer in stride with this stretchy, lightweight warm-weather slip-on shoe.","https://www.llbean.com/llb/shop/120143?page=women-s-back-cove-slip-ons&bc=474-630&feat=630-gn1&csp=f"
"Women's Trail Model 4 Waterproof Hiking Shoes","Supercomfortable lightweight hikers with a built-in waterproof membrane.","https://www.llbean.com/llb/shop/91623?page=women-s-trail-model-4-waterproof-hiking-shoes&bc=474-630&feat=630-gn1&csp=f"
"Original Maine Isle Flip-Flops, Motif","We brought the original version of the timeless Maine Isle back by popular demand.","https://www.llbean.com/llb/shop/117870?page=original-maine-isle-flip-flops-motif&bc=474-630&feat=630-gn1&csp=f"
"Women's Boothbay Sandals","These versatile women's water sandals are so cute, you'll want to wear them every day – and thanks to their comfortable construction, you can.","https://www.llbean.com/llb/shop/72458?page=women-s-boothbay-sandals&bc=474-630&feat=630-gn1&csp=f"
"Women's Bean Boots by L.L.Bean®, Rubber Moc","Often imitated but never duplicated, our Women's Rubber Moc L.L.Bean Boots are made right here in Maine, one pair at a time.","https://www.llbean.com/llb/shop/19068?page=women-s-l-l-bean-boots-rubber-moc&bc=474-630&feat=630-gn1&csp=f"
"Women's Getaway Sandals","Ultra-sleek and stylish, these cool sandals will keep your feet comfortable all summer long. Made with plush leather straps and lining that are super-soft against your feet.","https://www.llbean.com/llb/shop/122283?page=women-s-getaway-sandals&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=coffee%20bean"
"Women's Gore-Tex Cresta Hiking Boots, Leather","These women’s leather Gore-Tex hiking boots feature exceptional performance and lasting construction that will surely meet the demands of the hardest trails.","https://www.llbean.com/llb/shop/23173?page=women-s-gore-tex-cresta-hiking-boots-leather&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=dark%20brown"
"Women's Eco Comfort Leather Sandals, Two-Strap","Super-comfortable and made for warm-weather fun, these sandals are crafted with soft, supple leather straps and generous amounts of cushioning.","https://www.llbean.com/llb/shop/122276?page=women-s-eco-comfort-leather-sandals-two-strap&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=dark%20cocoa"
"Women's Trail Model 4 Waterproof Hiking Boots","Supercomfortable midheight hikers that are as comfortable as your favorite sneakers – redesigned and now featuring a lower price.","https://www.llbean.com/llb/shop/91622?page=women-s-trail-model-4-waterproof-hiking-boots&bc=474-630&feat=630-gn1&csp=f"
"Women's Rocky Coast Multisport Shoes","These lightweight summer sneakers feature a durable mesh-and-leather upper that is highly breathable and dries very quickly. They're a great choice for a summer vacation on the ocean or strolls on your local walking paths","https://www.llbean.com/llb/shop/122178?page=women-s-rocky-coast-multisport-shoes&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=carbon%20navy"
"Women's Getaway Flip-Flop Sandals, Braided","These sleek, airy flip-flop sandals are easy to mix and match with just about any summer outfit.","https://www.llbean.com/llb/shop/122274?page=women-s-getaway-flip-flop-sandals-braided&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=black"
"Women's Maine Isle Slide, Print","With an anatomically contoured, EVA footbed and a cushy EVA midsole, these are the most comfortable women's slides you'll find anywhere.","https://www.llbean.com/llb/shop/122273?page=women-s-maine-isle-slide-print&bc=474-630&feat=630-gn1&csp=f"
"Women's Eco Comfort Slides, Perforated Nubuck","Built with advanced features, you won't have to sacrifice style for comfort in these slides. The soft perforated nubuck upper is not only super-comfortable, it features the long-lasting durability you expect from L.L.Bean.","https://www.llbean.com/llb/shop/122282?page=women-s-eco-comfort-slides-perforated-nubuck&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=dark%20cement"
"Women's Sport Comfort Sandals","These sandals have it all: style, comfort and long-lasting durability. The footbed is ergonomically designed with excellent arch support, a deep heel cup and a roomy toe area for exceptional comfort.","https://www.llbean.com/llb/shop/122430?page=women-s-sport-comfort-sandals&bc=474-630&feat=630-gn1&csp=f"
"Thule Glide 2 Stroller","Light and fast, this high-performance stroller has an aerodynamic design that lets you get the most out of your run on all types of terrain.","https://www.llbean.com/llb/shop/121404?page=thule-glide-2-stroller&bc=905&feat=905-gn1&csp=a&attrvalue_0=black"
"Thule Chariot Lite 1 Stroller","This lightweight single child stroller can be quickly converted into a bike trailer using the included trailer kit. Five-point harness, protective cover and built-in suspension keep your child secure and comfortable.","https://www.llbean.com/llb/shop/117655?page=thule-chariot-lite-1-stroller&bc=905&feat=905-gn1&csp=a&attrvalue_0=bluegrass"
"Yuba Flip Flop Balance Bike","Balance bikes are a great way for kids to learn how to ride without training wheels and with feet securely on the ground.","https://www.llbean.com/llb/shop/89508?page=yuba-flip-flop-balance-bike&bc=905&feat=905-gn1&csp=a&attrvalue_0=cow"
"Discovery Infant PFD","Fully adjustable to provide a custom fit, this infant life vest provides added safety around water—with a built-in handle to pull your child out of the water in an emergency.","https://www.llbean.com/llb/shop/73172?page=discovery-infant-pfd&bc=905&feat=905-gn1&csp=a&attrvalue_0=neon%20yellow/gray"
"Discovery Child PFD","Specially designed for small children. Sturdy grab handle makes it easy to pull child back into the boat or onto the dock.","https://www.llbean.com/llb/shop/73170?page=discovery-child-pfd&bc=905&feat=905-gn1&csp=a&attrvalue_0=red/marine%20blue"
"L.L.Bean Graphic Kids' Stand-Up Paddleboard, 8'4""","With a shorter, lightweight design that’s still plenty rugged, our kids' SUP is made with environmental-friendly materials you can feel good about.","https://www.llbean.com/llb/shop/117825?page=l-l-bean-graphic-kids-stand-up-paddleboard-8-4&bc=905&feat=905-gn1&csp=a"
"Kids' L.L.Bean Ridge Runner Bike, 20""","An easy-to-ride mountain bike that offers great durability and stability – it's a great next step for the young rider who is gaining skills and confidence.","https://www.llbean.com/llb/shop/120827?page=kids-l-l-bean-ridge-runner-bike-20&bc=905&feat=905-gn1&csp=a&attrvalue_0=blue"
"Discovery Junior Positrack IFP Skis with Turnamic Bindings","Shorter and wider skis that allow excellent stability and control for new skiers. Designed for 30% in-track, 70% out-of-track skiing, rolling hills and trail breaking.","https://www.llbean.com/llb/shop/119666?page=discovery-junior-positrack-ifp-skis-with-turnamic-bindings&bc=905&feat=905-gn1&csp=a&attrvalue_0=red"
"Kids' K2 Rink Raven Skates with Boa closure","These adjustable children's ice skates feature the Boa-closure system that lets kids get them on without taking their gloves off. Adjust five full sizes to keep up with your child's growing feet.","https://www.llbean.com/llb/shop/119613?page=kids-k2-rink-raven-skates-with-boa-closure&bc=905&feat=905-gn1&csp=a&attrvalue_0=black/white"
"U.S. Divers Snorkeling Set, Youths'","Our kids' snorkeling set is just like Mom and Dad’s, so the next great marine biologists don’t have to wait to start exploring.","https://www.llbean.com/llb/shop/81486?page=u-s-divers-snorkeling-set-youths&bc=905&feat=905-gn1&csp=a"
"Kids' Giro Scamp Bike Helmet","Parents will appreciate the grown-up safety features and easy adjustability of this comfortable Giro kids' bike helmet.","https://www.llbean.com/llb/shop/118822?page=kids-giro-scamp-bike-helmet&bc=905&feat=905-gn1&csp=a"
"Kids' L.L.Bean Ridge Runner Bike, 16""","This durable bike will allow kids to confidently learn how to ride.","https://www.llbean.com/llb/shop/120826?page=kids-l-l-bean-ridge-runner-bike-16&bc=905&feat=905-gn1&csp=a&attrvalue_0=orange"
"Thule Urban Glide 2 Stroller","This advanced stroller features a sleek, lightweight design that lets you move smoothly with great maneuverability. It's perfect for urban adventures, walking in the park or running your local exercise path.","https://www.llbean.com/llb/shop/121403?page=thule-urban-glide-2-stroller&bc=905&feat=905-gn1&csp=a&attrvalue_0=black"
"Women's Sweater Fleece Slipper Scuff","Wrap your feet in the cozy comfort of our popular sweater fleece, now with a cute, more feminine shape. Whether you're lounging around the house or making a quick dash outside, they'll be the most versatile slippers you own.","https://www.llbean.com/llb/shop/121226?page=women-s-sweater-fleece-slipper-scuff&bc=474-630&feat=630-gn1&csp=f"
"Castle Snow/Sand Mold Kit","Make fun snow castles all winter long with this four-piece kit. When the weather turns warm again, use it to make sand castles.","https://www.llbean.com/llb/shop/114177?page=castle-snow-sand-mold-kit&bc=905&feat=905-gn1&csp=a&attrvalue_0=red"
"L.L.Bean Kids' Shorty Wet Suit","This is the perfect wet suit for young swimmers and surfers. Comfortable 2 mm thick neoprene provides warmth without sacrificing mobility.","https://www.llbean.com/llb/shop/120761?page=l-l-bean-kids-shorty-wet-suit&bc=905&feat=905-gn1&csp=a"
"Women's Merrell Moab FST 2 Ventilated Hiking Shoes","This lightweight, ventilated version of the best-selling Moab trail hiker features less volume in the forefoot for a more athletic fit. It's also equipped with a grippier outsole that excels in both wet and dry conditions.","https://www.llbean.com/llb/shop/122324?page=women-s-merrell-moab-fst-2-ventilated-hiking-shoes&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=blue%20smoke"
"Women's New Balance 990v4 Running Shoes","The latest in New Balance's Made in the USA series, these lightweight road-running shoes combine cushioning and stability designed especially for the moderate-to-high-mileage runner.","https://www.llbean.com/llb/shop/120188?page=women-s-new-balance-990v4-running-shoes&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=gray/castlerock"
"Women's Hoka One One Bondi 6 Running Shoes","The most cushioned shoe in the Hoka One One line of running shoes, the Bondi 6 offers smooth performance that's balanced and stable. Redesigned with a new upper, midsole and outsole. They're so light you'll think you're running on a cloud.","https://www.llbean.com/llb/shop/121239?page=women-s-hoka-one-one-bondi-6-running-shoes&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=marlin/blue%20ribbon"
"Women's Mountain Slippers, Moccasin","Featuring cozy fleece on the inside and a durable slip-resistant bottom, these comfy moccasin slippers are perfect for lounging around.","https://www.llbean.com/llb/shop/112648?page=women-s-mountain-slippers-moccasin&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=dark%20cement"
"Women's Deerfield Mule Slip-Ons, Leather","Each pair is expertly crafted in Brazil using a handselected leather upper specially tanned for rich color and exceptional softness. An attractive combination of style and durability, they will become your most versatile, everyday slip-on shoes.","https://www.llbean.com/llb/shop/122267?page=women-s-deerfield-mule-slip-ons-leather&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=black"
"Women's Salomon Outline Mid Gore-Tex Hiking Boots","With sneaker-like comfort and flexibility, these light backpacking boots feature outstanding traction, cushioning and stability. Breathable, waterproof Gore-Tex weather protection keeps your feet dry and comfortable.","https://www.llbean.com/llb/shop/122435?page=women-s-salomon-outline-mid-gore-tex-hiking-boots&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=navy%20blazer/hydro"
"Women's Wicked Good Moccasins","With exceptional cushioning comfort, a precise fit and a thermoplastic rubber outsole make our popular women’s furry slippers the coziest ever.","https://www.llbean.com/llb/shop/70466?page=women-s-wicked-good-moccasins&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=natural"
"Women's L.L.Bean Boundless Fitness Shoe, Ventilated","Our well-ventilated fitness footwear features running shoe comfort in a lightweight package. Ideal for light running, walking or just keeping up with your busy schedule around town.","https://www.llbean.com/llb/shop/121242?page=women-s-l-l-bean-boundless-fitness-shoe-ventilated&bc=474-630&feat=630-gn1&csp=f"
"Westport Slip-On Ankle Boots","These pull-on leather ankle boots are finely crafted by experts in Brazil using hand selected leather for rich color and a remarkably supple feel.","https://www.llbean.com/llb/shop/120144?page=westport-slip-on-ankle-boots&bc=474-630&feat=630-gn1&csp=f"
"Women's Chelsea L.L.Bean Boots, 7"" Tumbled Leather","Buttery-soft tumbled leather and easy Chelsea boot styling bring our iconic boots to new levels of comfort. Handcrafted one pair at a time, with authentic details like triple-needle-stitching and our classic chain-tread sole.","https://www.llbean.com/llb/shop/118271?page=women-s-chelsea-l-l-bean-boots-7-tumbled-leather&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=tan/brown"
"Women's Tumbled-Leather L.L.Bean Boot, 6"" Padded Collar","A soft padded collar makes our Women's L.L.Bean Boots more comfortable than ever. Made in Maine, one pair at a time.","https://www.llbean.com/llb/shop/85755?page=women-s-tumbled-leather-l-l-bean-boots-6-padded-collar&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=tan/brown"
"Women's Campside Shoe, Camp Mocs","We've taken our timeless camp moc to new levels of comfort with supersoft broken-in leather and thick cushioning in every step. Each pair is expertly crafted by hand, so you won't find anything else like it.","https://www.llbean.com/llb/shop/121091?page=women-s-campside-shoe-camp-mocs&bc=474-630&feat=630-gn1&csp=f"
"Women's Wicked Good Slipper, Cross Band Slide","These ultra-cozy cross-band slides feature plush shearling underfoot and on the slide straps, making them luxuriously comfortable.","https://www.llbean.com/llb/shop/122287?page=women-s-wicked-good-slipper-cross-band-slide&bc=474-630&feat=630-gn1&csp=f"
"Women's Katahdin Hiking Shoes, Nubuck Mesh","These lightweight, breathable retro hikers are perfect for day hiking on gentle terrain or city streets.","https://www.llbean.com/llb/shop/122174?page=women-s-katahdin-hiking-shoes-nubuck-mesh&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=asphalt/lapis%20stone"
"Women's New Balance 608 Cross Trainers, Leather","Thanks to their signature fit, natural construction and advanced cushioning, these all-around women‘s leather New Balance sneakers will help you keep moving in comfort.","https://www.llbean.com/llb/shop/122439?page=women-s-new-balance-608-cross-trainers-leather&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=white/light%20blue"
"Women's Vasque Breeze Light Gore-Tex Hiking Shoes","These waterproof Vasque speed hiking shoes combine the stability you’d expect from boots with an exceptionally lightweight design to keep you moving fast on the trail. This version is about half a pound lighter than the regular Breeze style.","https://www.llbean.com/llb/shop/122436?page=women-s-vasque-breeze-light-gore-tex-hiking-shoes&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=majolica%20blue/red%20clay"
"Women's Mountain Slipper Moccasins, Perforated","Featuring a thick berber fleece lining, water-resistant protection and chain-tread rubber outsole, our premium suede slippers are versatile enough to slip on anytime.","https://www.llbean.com/llb/shop/120169?page=women-s-mountain-slipper-moccasins-perforated&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=classic%20navy"
"Women's Maine Isle Flip-Flops, Woven","We've redesigned our woven summer essential flip-flops with an anatomically contoured, EVA footbed and cush EVA midsole for better support and comfort.","https://www.llbean.com/llb/shop/120159?page=women-s-maine-isle-flip-flops-woven&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=cream"
"Women's Teva Tirra Sandals","Ideal for a range of outdoor activities, these women’s Teva Tirra Sandals feature a quick-drying upper with T.I.D.E. technology for unmatched comfort and performance in the water and out.","https://www.llbean.com/llb/shop/87857?page=women-s-teva-tirra-sandals&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=bering%20sea"
"Women's Comfort Mocs, Mary Jane","Appreciated for years by customers for their comfort and versatility, these women’s slip-on moccasins have been improved to be lighter and more flexible than ever.  ","https://www.llbean.com/llb/shop/74833?page=women-s-comfort-mocs-mary-jane&bc=474-630&feat=630-gn1&csp=f"
"Women's New Balance 577 Walking Shoes, Lace-Up","Our best choice for fitness walkers. Specially constructed with extra heel cushioning and flexibility to accommodate a walker’s unique stride.","https://www.llbean.com/llb/shop/68019?page=women-s-new-balance-577-walking-shoes-lace-up&bc=474-630&feat=630-gn1&csp=f"
